연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2022,12,도,경기도  ,13589432,1040954,1327726,1737291,1882300,2284603,2293422,1750962,808663,403721,58065,1725,6839276,532630,680443,916141,978227,1162714,1159994,872468,371412,151010,13881,356,6750156,508324,647283,821150,904073,1121889,1133428,878494,437251,252711,44184,1369
2022,12,시군,경기도 가평군 ,62197,2930,4463,5929,5397,7589,10910,13315,7082,3999,564,19,32097,1491,2277,3426,2964,4064,5820,6876,3429,1591,153,6,30100,1439,2186,2503,2433,3525,5090,6439,3653,2408,411,13
2022,12,읍면동,경기도 가평군 가평읍,19555,1020,1673,2094,1795,2630,3390,3614,1963,1206,163,7,9943,528,895,1157,947,1386,1807,1809,909,467,37,1,9612,492,778,937,848,1244,1583,1805,1054,739,126,6
2022,12,읍면동,경기도 가평군 북면,3815,108,174,230,223,357,665,1072,578,353,54,1,1978,55,81,143,124,203,375,561,284,137,15,0,1837,53,93,87,99,154,290,511,294,216,39,1
2022,12,읍면동,경기도 가평군 상면,5669,140,259,482,389,533,1074,1537,788,410,57,0,3007,71,147,331,223,293,559,800,399,166,18,0,2662,69,112,151,166,240,515,737,389,244,39,0
2022,12,읍면동,경기도 가평군 설악면,9679,478,749,875,791,1076,1630,2223,1115,628,112,2,4981,232,359,467,455,560,872,1155,583,264,33,1,4698,246,390,408,336,516,758,1068,532,364,79,1
2022,12,읍면동,경기도 가평군 조종면,9618,628,706,1003,1105,1206,1548,1927,941,495,56,3,5096,324,355,595,637,649,809,1042,471,198,15,1,4522,304,351,408,468,557,739,885,470,297,41,2
2022,12,읍면동,경기도 가평군 청평면,13861,556,902,1245,1094,1787,2603,2942,1697,907,122,6,7092,281,440,733,578,973,1398,1509,783,359,35,3,6769,275,462,512,516,814,1205,1433,914,548,87,3
2022,12,시군,경기도 고양시 ,1075202,73997,101074,140606,142572,172996,197448,140266,62941,37677,5480,145,524999,37590,51604,71578,71081,84120,96251,70205,27449,13658,1426,37,550203,36407,49470,69028,71491,88876,101197,70061,35492,24019,4054,108
2022,12,구,경기도 고양시 덕양구 ,487874,36231,41419,60469,70476,78293,84547,65372,31304,17384,2321,58,240152,18419,21140,30869,35437,39331,41852,32391,13766,6362,571,14,247722,17812,20279,29600,35039,38962,42695,32981,17538,11022,1750,44
