시군구,공원면적
경기도 이천시 중리동 15,2526.0
경기도 이천시 중리동 210,3830.0
경기도 이천시 창전동 408,1757.0
경기도 이천시 창전동 414-13,1650.0
경기도 이천시 창전동 423,1650.0
경기도 이천시 창전동 432-10,1300.0
경기도 이천시 창전동 435-8,1200.0
경기도 이천시 창전동 446,1650.0
경기도 이천시 창전동 455,1300.0
경기도 이천시 창전동 466,1650.0
경기도 이천시 중리동 465-6,1650.0
경기도 이천시 중리동 458-6,1650.0
경기도 이천시 중리동 445-6,1650.0
경기도 이천시 관고동 501-9,1000.0
경기도 이천시 갈산동 639-1,1580.0
경기도 이천시 증포동 475-3,3865.0
경기도 이천시 송정동 293-4,1537.0
경기도 이천시 갈산동 611-4,1872.0
경기도 이천시 증포동 483,2250.0
경기도 이천시 관고동 512,1830.0
경기도 이천시 갈산동 786,2100.0
경기도 이천시 증포동 481,3179.0
경기도 이천시 증포동 375-5,352.0
경기도 이천시 증포동 375-5,45.0
경기도 이천시 갈산동 779,2100.0
경기도 이천시 장호원읍 진암리 60-4,177579.0
경기도 이천시 마장면 오천리 411,15317.0
경기도 이천시 송정동 88-1,2791.0
경기도 이천시 송정동 88-1,6335.0
경기도 김포시 고촌읍 신곡리 1249,1715.0
경기도 김포시 고촌읍 신곡리 1260,1522.0
경기도 김포시 고촌읍 신곡리 1268,1567.0
경기도 김포시 대곶면 대벽리 산66-56,1968.0
경기도 김포시 걸포동 1560,3450.0
경기도 김포시 고촌읍 신곡리 1106,12881.0
"경기도 남양주시 화도읍 창현리 645-19, 645-24, 642-7, 644-4",1675.0
경기도 남양주시 별내동 886,2027.0
경기도 남양주시 별내동 941-2,3196.0
경기도 남양주시 별내동 838-9,1694.0
경기도 남양주시 별내동 1092,1989.0
경기도 남양주시 별내동 1130,3040.0
경기도 남양주시 별내동 1038-3,4290.0
경기도 남양주시 별내동 1162,4299.0
경기도 남양주시 별내동 904,6981.0
경기도 남양주시 별내동 818,28459.0
경기도 남양주시 별내동 956-5,29162.0
경기도 남양주시 별내동 939,31560.0
경기도 남양주시 별내동 988,54318.0
경기도 남양주시 별내동 918,65676.0
경기도 남양주시 별내동 1016-3,76348.0
경기도 남양주시 별내동 1074,144582.0
경기도 남양주시 별내동 861,47845.0
경기도 남양주시 별내동858,7759.0
경기도 남양주시 별내동910,12367.0
경기도 남양주시 별내동908,21946.0
경기도 남양주시 화도읍 묵현리 625-2,295.0
경기도 파주시 문산읍 당동리 936번지,7284.0
경기도 파주시 문산읍 당동리 943,21818.0
경기도 파주시 문산읍 선유리 1396,16328.0
경기도 용인시 기흥구 신갈동 159-1,2599.0
경기도 용인시 기흥구 신갈동 165-1,3093.0
"경기도 용인시 기흥구 신갈동 166-1, 732",1535.0
경기도 용인시 기흥구 구갈동 350,11060.0
경기도 용인시 기흥구 신갈동 164,26037.0
경기도 용인시 기흥구 상갈동 495,11999.0
경기도 용인시 기흥구 상갈동 102-5,1650.0
경기도 용인시 기흥구 상갈동 455,3145.0
경기도 용인시 기흥구 상갈동 461-2,1515.0
경기도 용인시 기흥구 상갈동 481-2,1546.0
경기도 용인시 기흥구 신갈동 397-13,1898.0
경기도 용인시 기흥구 상하동 631,1592.0
경기도 용인시 기흥구 구갈동 569,21920.0
경기도 용인시 기흥구 구갈동 598,189796.0
경기도 용인시 기흥구 구갈동 549,1615.0
경기도 용인시 기흥구 구갈동 584,1501.0
경기도 용인시 기흥구 구갈동 602,1500.0
경기도 용인시 기흥구 구갈동 605,1500.0
경기도 용인시 기흥구 보정동 1201,1528.0
경기도 용인시 기흥구 보정동 1211,3324.0
경기도 용인시 기흥구 보정동 1235,3363.0
경기도 용인시 기흥구 보정동 1270,2703.0
경기도 용인시 기흥구 보정동 1284,1672.0
경기도 용인시 기흥구 보정동 1296,2166.0
경기도 용인시 기흥구 보정동 1315,1771.0
경기도 용인시 기흥구 보정동 1227,31650.0
경기도 용인시 기흥구 보정동 1269,40792.0
경기도 용인시 기흥구 보정동 1287,17643.0
경기도 용인시 기흥구 보정동 1303,11065.0
경기도 용인시 처인구 삼가동 195-19,1925.0
경기도 용인시 처인구 삼가동 288-1,4878.0
경기도 용인시 처인구 삼가동 268-26,17748.0
경기도 용인시 처인구 모현읍 왕산리 949,5817.0
경기도 용인시 처인구 포곡읍 둔전리450,2558.0
경기도 용인시 처인구 김량장동 503-1,887.0
경기도 용인시 처인구 모현읍 왕산리 523-17,919.0
경기도 용인시 처인구 백암면 근창리 101-8,807.0
경기도 용인시 처인구 역북동 385-5,391.0
경기도 용인시 처인구 역북동 386-3,406.0
경기도 용인시 처인구 포곡읍 삼계리 671-25,1875.0
경기도 용인시 처인구 포곡읍 둔전리 422-2,9877.0
경기도 용인시 처인구 마평동 740-66,265.0
경기도 용인시 처인구 역북동 413-14,3573.0
경기도 용인시 처인구 역북동 430-22,7040.0
경기도 용인시 처인구 마평동 661-1,401.0
경기도 용인시 기흥구 신갈동 산14,81927.0
경기도 용인시 기흥구 상갈동 129-17,153429.0
경기도 용인시 기흥구 구갈동 393-1,2589.0
경기도 용인시 기흥구 구갈동 407-1,1696.0
경기도 용인시 기흥구 신갈동 2,1699.0
경기도 용인시 기흥구 신갈동 33-4,1882.0
경기도 용인시 기흥구 신갈동 44-8,1727.0
경기도 용인시 기흥구 구갈동 375-2,2196.0
경기도 용인시 기흥구 구갈동 383-1,3720.0
경기도 용인시 기흥구 영덕동 915,5937.0
경기도 용인시 기흥구 영덕동 934,1500.0
경기도 용인시 기흥구 구갈동 271,1901.0
경기도 용인시 기흥구 구갈동 276-1,1544.0
경기도 용인시 기흥구 구갈동 344-1,2497.0
경기도 이천시 관고동 356,1644940.0
경기도 이천시 창전동 503,114600.0
경기도 이천시 진리동 140,12040.0
경기도 이천시 창전동 139,2947.0
경기도 이천시 창전동 76,1902.0
경기도 이천시 관고동 21,683.0
경기도 이천시 관고동 11,1297.0
경기도 의정부시 민락동 826,1508.6
경기도 의정부시 낙양동 748,1658.6
경기도 의정부시 낙양동 752,3004.0
경기도 의정부시 민락동 892,1912.1
경기도 의정부시 민락동 872,1736.2
경기도 의정부시 용현동 550-2,1759.4
경기도 의정부시 금오동 482-1,3187.0
경기도 의정부시 금오동 산31-18,2231.0
경기도 의정부시 자일동 69-43,8659.0
경기도 의정부시 의정부동 222-19,11402.5
경기도 의정부시 민락동 855,33457.9
경기도 의정부시 민락동 878,75925.7
경기도 의정부시 낙양동 730,45730.7
경기도 의정부시 민락동 897,15773.0
경기도 의정부시 민락동 900,25509.4
경기도 의정부시 민락동 887,16957.3
경기도 의정부시 금오동 145-7,3886.0
경기도 의정부시 민락동 731-1,6487.5
경기도 의정부시 민락동 888,30333.3
경기도 의정부시 민락동 785,1525.6
경기도 의정부시 민락동 798,1572.3
경기도 의정부시 민락동 802,3668.0
경기도 의정부시 낙양동 713,1971.4
경기도 의정부시 민락동 832,1774.2
경기도 의정부시 민락동 691-2,2451.0
경기도 의정부시 민락동 692-5,4132.0
경기도 의정부시 민락동 695-2,2508.0
경기도 의정부시 민락동 698,1500.0
경기도 의정부시 민락동 706-1,1788.0
