공원명,면적,공원주소,위도,경도
남산도시자연공원,2896887,서울특별시 중구 삼일대로 231(예장동),37.5501402,126.9903773
길동생태공원,80683,서울특별시 강동구 천호대로 1291(길동생태공원) ,37.5403935,127.1547791
서울대공원,9132690,경기도 과천시 대공원광장로 102,37.4264494,127.0198465
서울숲,480994,서울특별시 성동구 뚝섬로 273 (성수동1가) ,37.5430717,127.0417982
월드컵공원,2284085,서울특별시 마포구 하늘공원로 84(월드컵공원),37.571805,126.878907
광화문시민열린마당,8948,서울특별시 종로구 세종로 76-2,37.5750449,126.9780227
중마루근린공원,6456,서울특별시 영등포구 영등포동2가 222,37.519832,126.9112668
응봉공원,80309,서울특별시 성동구 금호동1가 산1-72,37.5572281,127.0217653
매화근린공원,1980,서울특별시 강서구 등촌동 630-14,37.5575833,126.86115
성수근린공원,5197,서울특별시 성동구 성수2가 3동 302-25,37.5448144,127.0524023
샛마을근린공원,11467,서울특별시 강동구 명일1동 288,37.5504807,127.1471618
여의도근린공원,229539,서울특별시 영등포구 여의공원로 68 (여의도동),37.526129,126.922377
간데메근린공원,15179,서울특별시 동대문구 서울시립대로2길 59(간데메공원),37.5732438,127.0488644
훈련원근린공원,16734,서울특별시 중구 을지로 227,37.5675245,127.0038188
영등포근린공원,61544,서울특별시 영등포구 신길로 275,37.515423,126.910662
보라매근린공원,424106,서울특별시 동작구 여의대방로20길 33(보라매공원),37.492333,126.918289
어린이대공원,560552,서울특별시 광진구 능동로 216(어린이대공원),37.5498987,127.0809212
천호근린공원,26696,서울특별시 강동구 올림픽로 702(천호공원),37.5444741,127.1263451
용산가족공원,75900,서울특별시 용산구 서빙고로 185,37.522226,126.983335
독립근린공원,113021,서울특별시 서대문구 통일로251(독립공원),37.5738289,126.956771
낙산근린공원,201779,서울특별시 종로구 낙산길 41 (우) 03085,37.580477,127.007587
양재시민의숲,258991,서울특별시 서초구 매헌로 99 (양재동),37.471225,127.035042
관악산도시자연공원,10420819,서울특별시 관악구 관악로 1(관악산공원),37.445208,126.96413
효창근린공원,171294,서울특별시 용산구 효창원로 177-18,37.545234,126.95993
감로천생태공원(관악산),15000,서울특별시 금천구 독산4동 371?375 373일대,37.469625,126.9079509
개운산근린공원,297926,서울특별시 성북구 북악산로 949-73(돈암동 6-1),37.5965837,127.0252858
개웅산근린공원,411972,서울특별시 구로구 오류동 산13-1,37.4888943,126.8485734
경희궁,98470,서울특별시 종로구 새문안로 55(신문로2가 2-1),37.570773,126.9685341
국립현충원,2038741,서울특별시 동작구 사당2동 산41-2,37.4998621,126.9736849
계남근린공원,603715,서울특별시 양천구 신정동 산44-2일대,37.5138358,126.8479643
고척근린공원,108120,서울특별시 구로구 고척로45길 39(고척공원),37.5042944,126.8521495
파리근린공원,29619,서울특별시 양천구 목동동로 363 ,37.5349739,126.8763932
허준공원,29843,서울특별시 강서구 허준로5길 42,37.5679874,126.8526745
궁동근린공원,126026,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,37.5690506,126.9229851
궁산근린공원,135002,서울특별시 강서구 가양동 산4-7,37.5735645,126.838952
까치산근린공원,384026,서울특별시 동작구 사당동 산32,37.4845836,126.9640735
꿩고개근린공원,180000,서울특별시 강서구 방화동 산110,37.5801585,126.8157075
노량진공원,416031,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),37.510234,126.928607
답십리근린공원,160720,서울특별시 동대문구 답십리로 209(답십리공원) ,37.5750896,127.0626512
