공원명,주소,공원면적,위도,경도,시군구,분류,크기
별내택지어린이공원3,경기도 남양주시 별내동 별내3로 285,2743,37.66271585,127.1164707,남양주시,소형,3
녹촌제1호소공원,경기도 남양주시 화도읍 경춘보학1길 7,1228,37.65062377,127.2973286,남양주시,소형,3
66호소공원,경기도 수원시 팔달구 팔달로165번길 34-2,347,37.28344168,127.0048542,수원시팔달구,소형,3
아낌없이주는나무,경기도 수원시 팔달구 세지로 399번길 46,3146,37.28716691,127.0278678,수원시팔달구,소형,3
권선늘푸른,경기도 수원시 권선구 동탄원천로 818,33855,37.24800774,127.0400804,수원시권선구,소형,3
꿈나무공원,경기도 이천시 중리동 15,2526,37.2785611,127.4388194,이천시,소형,3
남천공원,경기도 이천시 중리동 210,3830,37.2780103,127.444436,이천시,소형,3
향교공원,경기도 이천시 창전동 408,1757,37.2849017,127.4375887,이천시,소형,3
개나리공원,경기도 이천시 창전동 414-13,1650,37.2838603,127.4394771,이천시,소형,3
달맞이공원,경기도 이천시 창전동 423,1650,37.2858539,127.4432146,이천시,소형,3
체육공원,경기도 이천시 창전동 432-10,1300,37.2859688,127.4459699,이천시,소형,3
태극공원,경기도 이천시 창전동 435-8,1200,37.2841229,127.4454011,이천시,소형,3
북새말공원,경기도 이천시 창전동 446,1650,37.2854015,127.4494321,이천시,소형,3
동새말공원,경기도 이천시 창전동 455,1300,37.2822743,127.4491159,이천시,소형,3
샛별공원,경기도 이천시 창전동 466,1650,37.2795137,127.4490814,이천시,소형,3
청솔공원,경기도 이천시 중리동 465-6,1650,37.2755183,127.4486608,이천시,소형,3
장미공원,경기도 이천시 중리동 458-6,1650,37.2758452,127.4451223,이천시,소형,3
한마음공원,경기도 이천시 중리동 445-6,1650,37.2767548,127.4380016,이천시,소형,3
마전터공원,경기도 이천시 관고동 501-9,1000,37.2841272,127.4345441,이천시,소형,3
갈산제1공원,경기도 이천시 갈산동 639-1,1580,37.28395378,127.4556812,이천시,소형,3
증포제1공원,경기도 이천시 증포동 475-3,3865,37.29629085,127.4530205,이천시,소형,3
송정공원,경기도 이천시 송정동 293-4,1537,37.2969501,127.4327276,이천시,소형,3
증포제2공원,경기도 이천시 갈산동 611-4,1872,37.283321,127.4553421,이천시,소형,3
증포제3공원,경기도 이천시 증포동 483,2250,37.28941811,127.4497003,이천시,소형,3
관고제6공원,경기도 이천시 관고동 512,1830,37.2832654,127.4336145,이천시,소형,3
휴먼시아공원,경기도 이천시 갈산동 786,2100,37.2821735,127.4575724,이천시,소형,3
푸르지오공원,경기도 이천시 증포동 481,3179,37.28527841,127.4516502,이천시,소형,3
증포3지구 어린이공원1,경기도 이천시 증포동 375-5,352,37.28772682,127.4502128,이천시,소형,3
증포3지구 어린이공원2,경기도 이천시 증포동 375-5,45,37.28772682,127.4502128,이천시,소형,3
갈산제2공원,경기도 이천시 갈산동 779,2100,37.28095085,127.4587268,이천시,소형,3
진암공원,경기도 이천시 장호원읍 진암리 60-4,177579,37.11188702,127.6202921,이천시,중형,7
마장근린공원,경기도 이천시 마장면 오천리 411,15317,37.2539302787,127.3541386235,이천시,소형,3
48호어린이공원,경기도 이천시 송정동 88-1,2791,37.29239137,127.4453949,이천시,소형,3
송정제2어린이공원라온프라이빗,경기도 이천시 송정동 88-1,6335,37.29239137,127.4453949,이천시,소형,3
고촌어린이19(수기1공원),경기도 김포시 고촌읍 신곡리 1249,1715,37.60012704,126.767372,김포시,소형,3
고촌어린이20(수기2공원),경기도 김포시 고촌읍 신곡리 1260,1522,37.596805,126.770145,김포시,소형,3
고촌어린이21(수기3공원),경기도 김포시 고촌읍 신곡리 1268,1567,37.596252,126.767048,김포시,소형,3
항공소공원1,경기도 김포시 대곶면 대벽리 산66-56,1968,37.617583,126.580436,김포시,소형,3
걸포어린이22,경기도 김포시 걸포동 1560,3450,37.634949,126.7052284,김포시,소형,3
신곡노을공원(고촌31호),경기도 김포시 고촌읍 신곡리 1106,12881,37.60413566,126.7726878,김포시,소형,3
이안어린이공원,"경기도 남양주시 화도읍 창현리 645-19, 645-24, 642-7, 644-4",1675,37.64221861,127.3039419,남양주시,소형,3
별내택지 소공원1,경기도 남양주시 별내동 886,2027,37.67491691,127.1336222,남양주시,소형,3
별내택지소공원2,경기도 남양주시 별내동 941-2,3196,37.65518368,127.128043,남양주시,소형,3
별내택지어린이공원2,경기도 남양주시 별내동 838-9,1694,37.6660172,127.1153041,남양주시,소형,3
별내택지어린이공원6,경기도 남양주시 별내동 1092,1989,37.6510798,127.1144787,남양주시,소형,3
별내택지어린이공원4,경기도 남양주시 별내동 1130,3040,37.6577684,127.1147836,남양주시,소형,3
별내택지어린이공원7,경기도 남양주시 별내동 1038-3,4290,37.6460333,127.1154635,남양주시,소형,3
별내택지어린이공원1,경기도 남양주시 별내동 1162,4299,37.66452648,127.1104557,남양주시,소형,3
별내택지어린이공원5,경기도 남양주시 별내동 904,6981,37.66061894,127.1268115,남양주시,소형,3
별내택지 근린공원1,경기도 남양주시 별내동 818,28459,37.67007379,127.116929,남양주시,소형,3
별내택지 근린공원2,경기도 남양주시 별내동 956-5,29162,37.6595533,127.1278149,남양주시,소형,3
별내택지 근린공원3,경기도 남양주시 별내동 939,31560,37.65493394,127.1270364,남양주시,소형,3
별내택지 근린공원7,경기도 남양주시 별내동 988,54318,37.64392211,127.1283003,남양주시,소형,3
별내택지 근린공원4,경기도 남양주시 별내동 918,65676,37.65657399,127.1215905,남양주시,소형,3
별내택지 근린공원6,경기도 남양주시 별내동 1016-3,76348,37.6472205,127.1246392,남양주시,소형,3
별내택지 근린공원5,경기도 남양주시 별내동 1074,144582,37.6540409,127.1157796,남양주시,중형,7
별내택지 체육공원,경기도 남양주시 별내동 861,47845,37.66427015,127.1201524,남양주시,소형,3
별내택지체육공원1,경기도 남양주시 별내동858,7759,37.664986,127.118584,남양주시,소형,3
별내택지 체육공원3,경기도 남양주시 별내동910,12367,37.65972854,127.1213588,남양주시,소형,3
별내택지 체육공원4,경기도 남양주시 별내동908,21946,37.66009632,127.1234243,남양주시,소형,3
마석신도2차1호소공원,경기도 남양주시 화도읍 묵현리 625-2,295,37.6629166,127.2986365,남양주시,소형,3
선유3 어린이공원,경기도 파주시 문산읍 당동리 936번지,7284,37.868024,126.786909,파주시,소형,3
선유산업단지1호 근린공원,경기도 파주시 문산읍 당동리 943,21818,37.862704,126.7717539,파주시,소형,3
선유산업단지2호 근린공원,경기도 파주시 문산읍 선유리 1396,16328,37.86490558,126.7991824,파주시,소형,3
제35호 어린이공원(갈현),경기도 용인시 기흥구 신갈동 159-1,2599,37.28152646,127.107443,용인시기흥구,소형,3
제32호 어린이공원(도현),경기도 용인시 기흥구 신갈동 165-1,3093,37.28565407,127.1081922,용인시기흥구,소형,3
제33호 어린이공원(새릉골),"경기도 용인시 기흥구 신갈동 166-1, 732",1535,37.286062,127.1121498,용인시기흥구,소형,3
제44호 근린공원(관곡근린공원),경기도 용인시 기흥구 구갈동 350,11060,37.28174279,127.1132592,용인시기흥구,소형,3
제43호 근린공원(갈천근린공원),경기도 용인시 기흥구 신갈동 164,26037,37.28423587,127.1102244,용인시기흥구,소형,3
제46호 근린공원(용뫼근린공원),경기도 용인시 기흥구 상갈동 495,11999,37.26397806,127.1083241,용인시기흥구,소형,3
제61호 어린이공원(상갈),경기도 용인시 기흥구 상갈동 102-5,1650,37.26763322,127.1058181,용인시기흥구,소형,3
제62호 어린이공원(금화5),경기도 용인시 기흥구 상갈동 455,3145,37.26696976,127.1101624,용인시기흥구,소형,3
제64호 어린이공원(금화1),경기도 용인시 기흥구 상갈동 461-2,1515,37.26360991,127.1092521,용인시기흥구,소형,3
제63호 어린이공원(금화3),경기도 용인시 기흥구 상갈동 481-2,1546,37.26195094,127.1066298,용인시기흥구,소형,3
제41호 어린이공원(양지마을),경기도 용인시 기흥구 신갈동 397-13,1898,37.27665908,127.101759978,용인시기흥구,소형,3
제86호 어린이공원(한아름),경기도 용인시 기흥구 상하동 631,1592,37.273601,127.136701,용인시기흥구,소형,3
제49호 근린공원(김혁근린공원),경기도 용인시 기흥구 구갈동 569,21920,37.27591933,127.127801,용인시기흥구,소형,3
제48호 근린공원(강남근린공원),경기도 용인시 기흥구 구갈동 598,189796,37.27274411,127.1295592,용인시기흥구,중형,7
제51호 어린이공원(하늘채),경기도 용인시 기흥구 구갈동 549,1615,37.27800797,127.129401,용인시기흥구,소형,3
제52호 어린이공원(갈곡),경기도 용인시 기흥구 구갈동 584,1501,37.271801,127.1296066,용인시기흥구,소형,3
제53호 어린이공원(강남),경기도 용인시 기흥구 구갈동 602,1500,37.269901,127.1303828,용인시기흥구,소형,3
