행정구역,행정구역별(시군구),성별,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
전국,전국,계,49063531,5991713,2090046,2670599,3400702,3091042,3424210,3832964,4002153,4336146,3958355,3988108,2902348,2042154,1529990,1092367,710634
전국,전국,남자,24270009,3076190,1067714,1284310,1778098,1597987,1744971,1940421,2018169,2160514,1986284,1955827,1394224,952588,666356,425499,220857
전국,전국,여자,24793522,2915523,1022332,1386289,1622604,1493055,1679239,1892543,1983984,2175632,1972071,2032281,1508124,1089566,863634,666868,489777
서울특별시,서울특별시,계,9009126,911870,357350,535846,788784,701692,677305,690009,710062,755307,674330,695830,540505,385904,286302,184149,113881
서울특별시,서울특별시,남자,4334563,468510,179855,227951,381717,349216,338984,342236,350174,366973,327842,327570,251667,177058,128614,77816,38380
서울특별시,서울특별시,여자,4674563,443360,177495,307895,407067,352476,338321,347773,359888,388334,346488,368260,288838,208846,157688,106333,75501
서울특별시,종로구,계,133567,11053,4882,9208,12237,9619,8622,9114,10293,11892,10960,10681,8101,5813,5051,3645,2396
서울특별시,종로구,남자,64074,5560,2390,3854,6188,4837,4288,4393,4987,5742,5503,5221,3938,2614,2135,1532,892
서울특별시,종로구,여자,69493,5493,2492,5354,6049,4782,4334,4721,5306,6150,5457,5460,4163,3199,2916,2113,1504
서울특별시,중구,계,113586,8755,3128,7093,10513,9839,9138,8086,7833,9439,8979,9234,7273,5246,4163,2915,1952
서울특별시,중구,남자,54479,4472,1485,2809,5007,4889,4604,4149,3937,4617,4464,4527,3495,2451,1793,1156,624
서울특별시,중구,여자,59107,4283,1643,4284,5506,4950,4534,3937,3896,4822,4515,4707,3778,2795,2370,1759,1328
서울특별시,용산구,계,204104,18077,6485,11390,18336,18360,17120,15536,15545,17497,15614,15342,11514,8205,6629,4928,3526
서울특별시,용산구,남자,97102,9245,3272,4414,8500,9071,8524,7786,7591,8455,7729,7419,5446,3717,2811,1944,1178
서울특별시,용산구,여자,107002,8832,3213,6976,9836,9289,8596,7750,7954,9042,7885,7923,6068,4488,3818,2984,2348
