locdate,dateName,isHoliday
20220101,신정,Y
20220131,설날,Y
20220201,설날,Y
20220202,설날,Y
20220301,삼일절,Y
20220309,대통령선거일,Y
20220505,어린이날 입하,Y
20220508,부처님오신날 어버이 날,Y
20220601,전국동시지방선거 의병의 날,Y
20220606,현충일 망종,Y
20220815,광복절 말복,Y
20220909,추석,Y
20220910,추석 해양경찰의 날,Y
20220911,추석,Y
20220912,대체공휴일,Y
20221003,개천절,Y
20221009,한글날,Y
20221010,대체공휴일 임산부의 날 정신건강의 날,Y
20221225,크리스마스,Y
20220228,2·28 민주운동 기념일,N
20220303,납세자의 날,N
20220308,3·8 민주의거 기념일,N
20220315,3·15 의거 기념일,N
20220316,상공의 날,N
20220325,서해수호의 날,N
20220401,예비군의 날,N
20220403,4·3희생자 추념일,N
20220405,식목일 청명,N
20220407,보건의 날,N
20220411,도시농업의 날 대한민국임시정부 수립기념일,N
20220419,4·19 혁명 기념일,N
20220420,장애인의 날 곡우,N
20220421,과학의 날,N
20220422,정보통신의 날,N
20220425,법의 날,N
20220428,충무공 이순신 탄신일,N
20220501,근로자의 날,N
20220510,유권자의 날,N
20220511,동학농민혁명 기념일,N
20220514,식품안전의 날,N
20220515,스승의 날,N
20220516,성년의 날,N
20220518,5·18 민주화운동 기념일,N
20220519,발명의 날,N
20220521,부부의 날 소만,N
20220531,바다의 날,N
20220605,환경의 날,N
20220609,구강보건의 날,N
20220610,6·10 민주항쟁 기념일,N
20220624,전자정부의 날,N
20220625,6·25 전쟁일,N
20220626,마약퇴치의 날,N
20220628,철도의 날,N
20220711,인구의 날,N
20220713,정보보호의 날,N
20220808,섬의 날,N
20220907,사회복지의 날 곤충의 날,N
20221001,국군의 날,N
20221002,노인의 날,N
20221005,세계한인의 날,N
20221008,재향군인의 날 한로,N
20221015,체육의 날 문화의 날,N
20221016,부마민주항쟁 기념일,N
20221021,경찰의 날,N
20221024,국제연합일,N
20221025,금융의 날,N
20221028,교정의 날,N
20221029,지방자치의 날,N
20221103,학생독립운동 기념일,N
20221109,소방의 날,N
20221111,농업인의 날,N
20221117,순국선열의 날,N
20221119,아동학대예방의 날,N
20221203,소비자의 날,N
20221205,무역의 날 자원봉사자의 날,N
20221227,원자력 안전 및 진흥의 날,N
20220105,소한,N
20220120,대한,N
20220204,입춘,N
20220219,우수,N
20220305,경칩,N
20220321,춘분,N
20220621,하지,N
20220707,소서,N
20220723,대서,N
20220807,입추,N
20220823,처서,N
20220908,백로,N
20220923,추분,N
20221023,상강,N
20221107,입동,N
20221122,소설,N
20221207,대설,N
20221222,동지,N
20220215,정월대보름,N
20220406,한식,N
20220603,단오,N
20220716,초복,N
20220726,중복,N
20220804,칠석,N
