집계일자,시군명,구분명,전화번호안내,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
2023-03-08,안성시,안성시청,031-678-2114,17586,경기도 안성시 시청길 25,경기도 안성시 봉산동 31-3번지,37.0073565913,127.2803132010
2023-03-08,안성시,고삼면,031-678-3980,17505,경기도 안성시 고삼면 고삼호수로 21,경기도 안성시 고삼면 가유리 287-11번지,37.0826930881,127.2634555485
2023-03-08,안성시,공도읍,031-678-3610,17560,경기도 안성시 공도4로 8,경기도 안성시 공도읍 만정리 793-1번지,37.0010143881,127.1725148540
2023-03-08,안성시,보개면,031-678-3680,17509,경기도 안성시 보개면 보개원삼로 220,경기도 안성시 보개면 불현리 42-1번지,37.0230156078,127.2908584099
2023-03-08,안성시,금광면,031-678-3710,17536,경기도 안성시 금광면 금광오산로 228,경기도 안성시 금광면 내우리 20-9번지,36.9972333559,127.3175306904
2023-03-08,안성시,서운면,031-678-3740,17607,경기도 안성시 서운면 서운중앙길 23,경기도 안성시 서운면 인리 107-4번지,36.9433047732,127.2595521286
2023-03-08,안성시,미양면,031-678-3770,17601,경기도 안성시 미양면 양지길 29,경기도 안성시 미양면 양지리 190번지,36.9752522325,127.2148362666
2023-03-08,안성시,대덕면,031-678-3800,17545,경기도 안성시 대덕면 중앙로 82,경기도 안성시 대덕면 건지리 425-1번지,37.0124266864,127.2378759081
2023-03-08,안성시,양성면,031-678-3830,17502,경기도 안성시 양성면 읍내길 21,경기도 안성시 양성면 동항리 324번지,37.0598825532,127.1944763279
2023-03-08,안성시,원곡면,031-678-3860,17556,경기도 안성시 가천중앙1길 46,경기도 안성시 외가천리 273-1번지,37.0394241660,127.1294738168
2023-03-08,안성시,일죽면,031-678-3890,17529,경기도 안성시 일죽면 금일로 433,경기도 안성시 일죽면 송천리 253-1번지,37.0905708752,127.4770340087
2023-03-08,안성시,삼죽면,031-678-3950,17514,경기도 안성시 삼죽면 삼죽로 112,경기도 안성시 삼죽면 내강리 46-2번지,37.0731906986,127.3749476221
