광역시도,시도,20~39세 여자,20~39세 합계,65세이상 합계,인구수 남자,인구수 여자,인구수 합계,소멸비율,소멸위기지역,소멸위기고위험지역,ID
강원도,강릉시,21100,46408,44446,103184,103773,206957,0.4747333843315484,True,False,강릉
강원도,고성군,1664,4091,7593,12308,12024,24332,0.21914921638351112,True,False,고성(강원)
강원도,동해시,7108,15787,17973,42773,41968,84741,0.39548211205697437,True,False,동해
강원도,삼척시,4887,11432,15952,30564,29489,60053,0.3063565697091274,True,False,삼척
강원도,속초시,7236,16028,15825,38733,39337,78070,0.45725118483412325,True,False,속초
강원도,양구군,1866,4365,4519,10119,9522,19641,0.41292321310024344,True,False,양구
강원도,양양군,1679,3886,8085,12983,12691,25674,0.20766852195423624,True,False,양양
강원도,영월군,2048,4625,10882,17537,16673,34210,0.1882006984010292,True,True,영월
강원도,원주시,42073,85926,53218,169223,173771,342994,0.7905783757375324,False,False,원주
강원도,인제군,2668,6395,6492,15246,13712,28958,0.41096734442390637,True,False,인제
강원도,정선군,2032,4597,9581,16833,15782,32615,0.21208642104164493,True,False,정선
강원도,철원군,3446,7827,9573,19794,19394,39188,0.35997075107071974,True,False,철원
강원도,춘천시,33145,68032,49768,133214,138603,271817,0.6659901945024915,False,False,춘천
강원도,태백시,2756,6041,10208,19656,19407,39063,0.2699843260188088,True,False,태백
강원도,평창군,2238,5101,11399,19050,18304,37354,0.19633301166769015,True,True,평창
강원도,홍천군,4602,10484,17712,31959,30803,62762,0.25982384823848237,True,False,홍천
강원도,화천군,1948,4871,5273,11272,10184,21456,0.36942916745685567,True,False,화천
강원도,횡성군,2830,6089,13229,21352,20794,42146,0.2139239549474639,True,False,횡성
경기도,가평군,4586,10241,15198,28470,27397,55867,0.30175023029345965,True,False,가평
경기도,과천시,8545,17002,9247,31561,33065,64626,0.9240834865361739,False,False,과천
경기도,광명시,35807,71795,40953,137409,143818,281227,0.8743437599199082,False,False,광명
경기도,광주시,45978,94360,52066,185635,181796,367431,0.8830714861906043,False,False,광주
경기도,구리시,24088,47778,26245,90194,93352,183546,0.9178129167460468,False,False,구리
경기도,군포시,34155,69615,36204,126790,130921,257711,0.9434040437520715,False,False,군포
경기도,권선구,50782,104125,41865,176163,175895,352058,1.2129941478562045,False,False,수원 권선
경기도,기흥구,53234,104952,56752,204816,213236,418052,0.9380109952072173,False,False,용인 기흥
경기도,김포시,61070,119353,58603,229433,233014,462447,1.042096820981861,False,False,김포
경기도,남양주시,82385,162233,100716,341370,350614,691984,0.8179931689106001,False,False,남양주
경기도,단원구,40305,84999,31743,148433,143077,291510,1.2697287590964936,False,False,안산 단원
경기도,덕양구,60584,120813,69159,223369,232836,456205,0.8760103529547854,False,False,고양 덕양
경기도,동두천시,9318,19520,18220,43556,44153,87709,0.5114160263446762,False,False,동두천
경기도,동안구,39656,78898,37332,142800,150928,293728,1.062252223293689,False,False,안양 동안
경기도,만안구,30845,63486,38043,113597,115454,229051,0.8107930499697711,False,False,안양 만안
경기도,부천시,105818,213361,111524,380098,393406,773504,0.94883612495965,False,False,부천
경기도,분당구,61796,119444,60105,217600,233349,450949,1.028134098660677,False,False,성남 분당
경기도,상록구,45674,96175,39609,170137,166699,336836,1.1531217652553714,False,False,안산 상록
경기도,수정구,31295,65296,37193,113090,112380,225470,0.841421772914258,False,False,성남 수정
경기도,수지구,46266,88302,48648,171910,182984,354894,0.9510360138135175,False,False,용인 수지
경기도,시흥시,66767,140857,47304,255684,239150,494834,1.4114451209200067,False,False,시흥
경기도,안성시,20398,44088,31853,92305,88068,180373,0.6403792421435972,False,False,안성
경기도,양주시,25423,51817,35422,111781,111164,222945,0.7177178024956242,False,False,양주
경기도,양평군,8871,18382,29343,54540,55008,109548,0.3023208260914017,True,False,양평
경기도,여주시,10041,21246,23547,52772,51628,104400,0.42642374824818446,True,False,여주
경기도,연천군,3287,7955,10940,20287,19020,39307,0.30045703839122484,True,False,연천
경기도,영통구,56112,112912,27508,174735,176307,351042,2.039842954776792,False,False,수원 영통
경기도,오산시,31217,66509,22458,115119,108939,224058,1.3900169204737733,False,False,오산
경기도,의왕시,20894,42482,22291,76939,78978,155917,0.9373289668476067,False,False,의왕
경기도,의정부시,58735,116365,69111,216007,225490,441497,0.849864710393425,False,False,의정부
경기도,이천시,25878,55111,30706,106168,101873,208041,0.8427668859506285,False,False,이천
경기도,일산동구,38177,73627,37300,134967,145360,280327,1.0235120643431634,False,False,고양 일산동
경기도,일산서구,34999,68259,37797,134401,145252,279653,0.9259729608169961,False,False,고양 일산서
경기도,장안구,33704,70980,36271,130111,130810,260921,0.9292272063080698,False,False,수원 장안
경기도,중원구,27750,57771,33419,101535,101102,202637,0.8303659594841258,False,False,성남 중원
경기도,처인구,30557,64731,36233,125341,120779,246120,0.8433472249054729,False,False,용인 처인
경기도,파주시,55950,114381,63198,224245,224318,448563,0.8853128263552644,False,False,파주
경기도,팔달구,26058,54206,27083,87217,87142,174359,0.9621533803492966,False,False,수원 팔달
경기도,평택시,70617,153253,64713,274424,257657,532081,1.091233600667563,False,False,평택
경기도,포천시,13397,29707,27712,71122,65754,136876,0.4834367782909931,True,False,포천
경기도,하남시,42870,84423,38761,148536,150628,299164,1.1060086169087484,False,False,하남
경기도,화성시,118221,245816,76318,433972,410995,844967,1.5490578893576876,False,False,화성
경상남도,거제시,24035,51096,27060,119758,110150,229908,0.8882113821138211,False,False,거제
경상남도,거창군,4020,8964,16298,27335,28800,56135,0.24665603141489753,True,False,거창
경상남도,고성군,2729,6223,15092,22525,23037,45562,0.18082427776305326,True,True,고성(경남)
