순위,카테고리,채널,구독자수,조회수,비디오
1,음악/댄스/가수,BLACKPINK,88100000,30991890000,515
2,음악/댄스/가수,BANGTANTV,74700000,20287850000,2195
3,음악/댄스/가수,HYBE LABELS,70600000,27702240000,1186
4,음악/댄스/가수,SMTOWN,31700000,26937410000,4122
5,음악/댄스/가수,JYP Entertainment,26900000,19400680000,1679
6,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],26500000,11052880000,223
7,음악/댄스/가수,1MILLION Dance Studio,26000000,7800900000,5390
8,음악/댄스/가수,1theK (원더케이),24500000,23708220000,18186
9,미분류,Alan Becker,22000000,5107370000,152
10,음악/댄스/가수,Mnet K-POP,20500000,14737540000,32243
11,TV/방송,KBS WORLD TV,18900000,14912660000,63181
12,음악/댄스/가수,officialpsy,18000000,10562750000,127
14,음식/요리/레시피,Jane ASMR 제인,17600000,7264830000,2117
13,음악/댄스/가수,JFlaMusic,17600000,3786650000,317
15,음악/댄스/가수,TWICE,15800000,4863450000,1092
16,음악/댄스/가수,BIGBANG,15000000,7755500000,776
17,음식/요리/레시피,Hongyu ASMR 홍유,14900000,4980560000,633
18,키즈/어린이,Boram Tube ToysReview [보람튜브 토이리뷰],14600000,5006530000,608
19,키즈/어린이,서은일상이야기,14000000,2574750000,696
20,키즈/어린이,BIBO와 장난감,12900000,3167210000,184
21,음악/댄스/가수,Stray Kids,12500000,3014530000,769
22,음식/요리/레시피,[햄지]Hamzy,11300000,3808640000,601
23,키즈/어린이,핑크퐁 (인기 동요・동화),11200000,7052740000,3075
24,키즈/어린이,DuDuPopTOY,11000000,5052730000,2522
25,키즈/어린이,토이몽 TV - ToyMong Tv,10900000,4454350000,1346
26,음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,10700000,1351190000,1491
28,미분류,GH'S,10600000,6519240000,399
27,음악/댄스/가수,Stone Music Entertainment,10600000,9423320000,10071
29,TV/방송,MBCkpop,10300000,8891880000,45897
30,키즈/어린이,Larva TUBA,10000000,4502870000,2112
31,음식/요리/레시피,쏘영 Ssoyoung,9800000,1500740000,792
32,키즈/어린이,서은이야기[SeoeunStory],9400000,2563590000,1213
33,음악/댄스/가수,SEVENTEEN,9390000,3988560000,1513
34,음악/댄스/가수,EXO,9270000,881650000,412
35,키즈/어린이,Boram Tube [宝蓝和朋友们],9200000,2481850000,487
36,음악/댄스/가수,Mnet TV,9060000,11554430000,22213
37,TV/방송,M2,9010000,7889580000,19064
38,뉴스/정치/사회,MBCentertainment,8950000,16855130000,97367
39,음식/요리/레시피,문복희 Eat with Boki,8910000,2455430000,707
40,해외,Serie A,8820000,3421420000,25539
41,음악/댄스/가수,iKON,8800000,2515420000,628
42,미분류,CRAZY GREAPA,8630000,7124630000,706
43,음악/댄스/가수,이지금 [IU Official],8520000,2067730000,170
44,음악/댄스/가수,ITZY,8200000,2077930000,1064
45,음식/요리/레시피,tzuyang쯔양,8140000,1871060000,524
46,TV/방송,KBS Kpop,7750000,7022500000,38612
47,음악/댄스/가수,ENHYPEN,7720000,1243250000,836
48,키즈/어린이,MariAndKids,7670000,2245970000,698
49,뉴스/정치/사회,JTBC Entertainment,7620000,11676850000,78368
50,음악/댄스/가수,YG ENTERTAINMENT,7460000,1926830000,410
51,음식/요리/레시피,야미보이 Yummyboy,7420000,3058360000,1049
52,TV/방송,스브스케이팝 X INKIGAYO,7350000,5811850000,32534
53,키즈/어린이,SonicToy소닉토이,7290000,3145300000,170
54,미분류,승비니 Seungbini,7270000,4960270000,604
55,음악/댄스/가수,Sungha Jung,7080000,1981130000,1381
56,키즈/어린이,미니특공대TV,7010000,3916640000,1449
57,음악/댄스/가수,MAMAMOO,6950000,2338530000,837
58,음악/댄스/가수,TREASURE (트레저),6930000,1966860000,723
59,음악/댄스/가수,ALL THE K-POP,6800000,4507140000,26710
60,TV/방송,SBS Entertainment,6760000,8704940000,226394
61,회사/오피셜,YouTube Originals,6740000,678460000,522
63,TV/방송,SBS Drama,6630000,7347850000,345648
62,키즈/어린이,[장난감티비]TOYTV,6630000,2984180000,1679
64,TV/방송,tvN drama,6620000,7627800000,51948
65,음식/요리/레시피,5 분 Tricks,6550000,2644450000,4476
